S.No,"Project Name","Project Date/Month/Year","Project ID","Project Manager","Organization Name","Project State/Location",Conditions,"Project %age"
1,nxndjsj,2020-08-31,Kloudracnxndjsj/GB/August/2020/01,hushsj,Kloudrac,nznznsj,hshsjs,60%
2,gshhsh,2020-08-17,Kloudracgshhsh/CTE/August/2020/01,Time,Kloudrac,nsnsjjs,bshshjs,
3,jwhejhw,2020-08-28,ujjval/jwhejhw/CTE/August/2020/0065,Vimlesh,ujjval,"JSADHJ,",hcl,
4,jwhejhw,2020-08-28,ujjval/jwhejhw/CTE/August/2020/0065,Vimlesh,ujjval,"JSADHJ,",infosis,
5,jwhejhw,2020-08-28,ujjval/jwhejhw/CTE/August/2020/0065,Vimlesh,ujjval,"JSADHJ,","unit task",
6,"TSC all",2020-05-10,2,"ravi manager",ujjval,Noida,hshsjsjj123,20%
7,Kloudrac-GRC,2020-07-22,"Org Name/Kloudrac-GRC/6 Monthly Compliance/July/2020/0023",Ujkdfk,"Org Name",Noida,taskhd,
8,Kloudrac-GRC,2020-07-22,"Org Name/Kloudrac-GRC/6 Monthly Compliance/July/2020/0023",Ujkdfk,"Org Name",Noida,united,
9,Kloudrac-GRC,2020-07-22,"Org Name/Kloudrac-GRC/6 Monthly Compliance/July/2020/0023",Ujkdfk,"Org Name",Noida,"Manish task",30%
10,Kloudrac-GRC,2020-07-22,"Org Name/Kloudrac-GRC/6 Monthly Compliance/July/2020/0023",Ujkdfk,"Org Name",Noida,dzf123,20%
