S.No,"Project Code","Project Name","Project Type",Stage,Status,Date
1,"Kloudrac/project for Kerla/EC/August/2020/0078","Project For Kerla","Groups Housing",EC,New,"2020-08-28 11:01:54"
2,2,"New Project For Report Test","Groups Housing",EC,Running,"2020-08-28 08:46:43"
3,"KloudracDigi Project/EC/August/2020/01","Digi Project","Groups Housing",EC,New,"2020-08-19 16:13:14"
4,Kloudracnxndjsj/GB/August/2020/01,Nxndjsj,Commercial,GB,Completed,"2020-08-19 15:35:50"
5,Kloudrac/nsljdzfhjcs/CTE/August/2020/0073,Nsljdzfhjcs,Residential,CTE,Running,"2020-08-19 14:28:26"
6,"KloudracGRC India Pvt Ltd/EC/August/2020/01","GRC India Pvt Ltd","Groups Housing",EC,New,"2020-08-19 14:22:55"
7,Kloudracndkdkksksks/CTO/August/2020/01,Ndkdkksksks,"Hospital & Healthcare",CTO,Running,"2020-08-19 07:52:31"
8,Kloudracgshhsh/CTE/August/2020/01,Gshhsh,"Hospital & Healthcare",CTE,Running,"2020-08-17 13:03:39"
9,ujjval/jwhejhw/CTE/August/2020/0065,Jwhejhw,Warehouse,CTE,"On Hold","2020-08-17 08:56:08"
10,"GTIgahhaha/6 Monthly Compliance/July/2020/01","Infosis 123","Hospital & Healthcare",EC,Completed,"2020-08-17 08:48:35"
11,2,"TSC All","Groups Housing",EC,New,"2020-08-16 18:54:30"
