S.No,"Project Name","Project Date/Month/Year","Project ID","Project Manager","Organization Name","Project State/Location",Conditions(Completed),Conditions(Other),"Project %age"
1,"Supertech CapeVILLA",2020-10-30,"Kloudrac/Supertech CapeVILLA/6 Monthly Compliance/September/2020/0085",nisha,Kloudrac,gUrgaon,0,0,0%
2,"Supertech Capetown",2020-10-30,2,nisha,Kloudrac,gUrgaon,0,0,0%
3,"project for Kerla",2020-08-30,2,B2b,Kloudrac,cghfg,0,3,70%
4,"New project for report test",2020-09-05,2,nisha,Kloudrac,8y878,0,1,0%
5,"Digi Project",2020-08-30,"KloudracDigi Project/EC/August/2020/01",nisha,Kloudrac,noida,0,0,0%
6,nsljdzfhjcs,2020-08-20,Kloudrac/nsljdzfhjcs/CTE/August/2020/0073,nisha,Kloudrac,dxfglnkdv,0,0,0%
7,"GRC India Pvt Ltd",2020-08-31,"KloudracGRC India Pvt Ltd/EC/August/2020/01",nisha,Kloudrac,Noida,0,1,10%
8,ndkdkksksks,2020-08-22,Kloudracndkdkksksks/CTO/August/2020/01,nisha,Kloudrac,znnsnzkz,0,0,0%
9,gshhsh,2020-08-17,Kloudracgshhsh/CTE/August/2020/01,Time,Kloudrac,nsnsjjs,0,0,0%
10,"infosis 123",2020-08-31,"GTIgahhaha/6 Monthly Compliance/July/2020/01",Time,Kloudrac,"bzbabba Q123",0,0,0%
11,"UIT infosoft",2020-08-31,"ujjvalUIT infosoft/EC/July/2020/01",punit,Kloudrac,noida,0,0,0%
12,"New Project",2020-07-22,"KloudracNew Project/6 Monthly Compliance/July/2020/01",Ujkdfk,Kloudrac,Noida,0,0,0%
13,JIT,2020-08-21,ujjvalJIT/EC/July/2020/01,Time,GTIu,noida,0,0,0%
14,abc,2020-07-24,Kloudracabc/EC/July/2020/01,"rest manager",GTIu,abc,0,0,0%
15,"Patajali Group",2020-07-31,"ujjval/Patajali Group/EC/July/2020/0024",Ujkdfk,GTIu,noida,0,0,0%
16,mas,2020-07-31,ujjval/mas/EC/July/2020/0029,Ujkdfk,"Org Name",noida,0,0,0%
17,"temp qq",2020-07-18,"Org Nametemp qq/EC/July/2020/01",,"Org Name",Ahmedabad,1,0,10%
18,Dabar,2020-09-30,"Vimlesh OrgDabar/EC/September/2020/01","Vimlesh test","Vimlesh Org",noida,0,0,0%
19,"hi project 1",2020-08-31,"htThi project 1/6 Monthly Compliance/August/2020/01",Vimlesh,test123,bzbsns,0,0,0%
20,"hi project 2",2020-08-28,"Org Namehi project 2/6 Monthly Compliance/August/2020/01",Vimlesh,GIC,snjsjs,0,1,0%
21,"2 agust",2020-08-02,"Kloudrac2 agust/6 Monthly Compliance/August/2020/01",nisha,"check logo",hshhshsh,0,0,0%
22,"test project 5 Sep",2020-09-26,"org karnatakatest project 5 Sep/EC/September/2020/01","Test user","org karnataka",xnnxnxn,0,0,0%
23,"Global Delhi",2020-10-21,"Global India/Global Delhi/6 Monthly Compliance/October/2020/0089",Amit,"Global India",noida,0,0,0%
24,"Global Goa",2020-10-12,"Global India Ltd/Global Goa/6 Monthly Compliance/October/2020/0090",Umang,"Global India Ltd",Goa,0,0,0%
