S.No,"Project Name","Project Date/Month/Year","Project ID","Project Manager","Organization Name","Project State/Location",Conditions(Completed),Conditions(Other)
1,"Supertech CapeVILLA",2020-10-30,"Kloudrac/Supertech CapeVILLA/6 Monthly Compliance/September/2020/0085",nisha,Kloudrac,gUrgaon,0,1
2,"Supertech Capetown",2020-10-30,2,nisha,Kloudrac,gUrgaon,0,1
3,"project for Kerla",2020-08-30,2,B2b,Kloudrac,cghfg,0,12
4,"New project for report test",2020-09-05,2,nisha,Kloudrac,8y878,0,14
5,"Digi Project",2020-08-30,"KloudracDigi Project/EC/August/2020/01",nisha,Kloudrac,noida,0,14
6,nsljdzfhjcs,2020-08-20,Kloudrac/nsljdzfhjcs/CTE/August/2020/0073,nisha,Kloudrac,dxfglnkdv,0,14
7,"GRC India Pvt Ltd",2020-08-31,"KloudracGRC India Pvt Ltd/EC/August/2020/01",nisha,Kloudrac,Noida,0,15
8,ndkdkksksks,2020-08-22,Kloudracndkdkksksks/CTO/August/2020/01,nisha,Kloudrac,znnsnzkz,0,17
9,gshhsh,2020-08-17,Kloudracgshhsh/CTE/August/2020/01,Time,Kloudrac,nsnsjjs,0,17
10,"infosis 123",2020-08-31,"GTIgahhaha/6 Monthly Compliance/July/2020/01",Time,Kloudrac,"bzbabba Q123",0,20
11,Dabar,2020-09-30,"Vimlesh OrgDabar/EC/September/2020/01","Vimlesh test","Vimlesh Org",noida,0,1
12,"test project 5 Sep",2020-09-26,"org karnatakatest project 5 Sep/EC/September/2020/01","Test user","org karnataka",xnnxnxn,0,5
13,"Global Delhi",2020-10-21,"Global India/Global Delhi/6 Monthly Compliance/October/2020/0089",Amit,"Global India",noida,0,2
14,"Global Goa",2020-10-12,"Global India Ltd/Global Goa/6 Monthly Compliance/October/2020/0090",Umang,"Global India Ltd",Goa,0,3
