S.No,"Project Code","Project Name","Project Type",Stage,Status,Date
1,"EMP-Vatika Group/Vatika Business Center/EC/June/2020/0017","Vatika Business Center","Groups Housing",CTO,New,"2020-06-02 10:53:16"
2,EMP-BCWW/Sharkreef/EC/June/2020/0016,Sharkreef,"Groups Housing",EC,New,"2020-06-02 09:07:38"
3,EMP-Kloudrac/NTI/EC/June/2020/0015,NTI,"Groups Housing",CTO,New,"2020-06-02 08:52:24"
4,EMP-Kloudrac/LWT/EC/June/2020/0014,LWT,"Groups Housing",EC,New,"2020-06-01 13:05:20"
5,"EMP-BCWWShark Sense/EC/June/2020/01","Shark Sense",Residential,EC,New,"2020-06-01 06:43:39"
6,EMP-Kloudractemp6/CTO/June/2020/01,Temp6,"Groups Housing",CTO,New,"2020-06-01 05:40:10"
7,EMP-Kloudractemp1/BG/June/2020/01,Temp1,"Groups Housing",BG,New,"2020-06-01 05:34:35"
8,EMP-Kloudrac/Oddi/EC/May/2020/0010,Oddi,"Hospital & Healthcare",EC,New,"2020-05-29 12:31:46"
9,EMP-SupertechKloudrac/EC/May/2020/01,Kloudrac,"Groups Housing",EC,New,"2020-05-04 08:48:31"
10,EMP-001,"Amrapali Village",Residential,CTE,New,"2020-04-16 14:37:58"
